吉田泉,東北ブロック 5区,民進党
逢沢一郎,岡山県 1区,自民党
青柳陽一郎,南関東ブロック,民進党
青山周平,東海ブロック,自民党
赤枝恒雄,東京ブロック,自民党
赤澤亮正,鳥取県 2区,自民党
赤羽一嘉,兵庫県 2区,公明党
あかま二郎,神奈川県 14区,自民党
赤松広隆,愛知県 5区,民進党
赤嶺政賢,沖縄県 1区,共産党
秋葉賢也,宮城県 2区,自民党
秋元司,東京ブロック,自民党
秋本真利,東京ブロック,自民党
浅尾慶一郎,神奈川県 4区,自民党
安住淳,宮城県 5区,民進党
麻生太郎,福岡県 8区,自民党
足立康史,近畿ブロック,日本維新の会
穴見陽一,九州ブロック,自民党
安倍晋三,山口県 4区,自民党
あべ俊子,中国ブロック,自民党
阿部知子,南関東ブロック,民進党
甘利明,神奈川県 13区,自民党
荒井聰,北海道ブロック,民進党
安藤裕,近畿ブロック,自民党
池内さおり,東京ブロック,共産党
池田道孝,中国ブロック,自民党
池田佳隆,東海ブロック,自民党
井坂信彦,兵庫県 1区,民進党
伊佐進一,大阪府 6区,公明党
石井啓一,北関東ブロック,公明党
石川昭政,北関東ブロック,自民党
石崎徹,新潟県 1区,自民党
石関貴史,北関東ブロック,民進党
石田祝稔,四国ブロック,公明党
石田真敏,和歌山県 2区,自民党
石原伸晃,東京都 8区,自民党
石原宏高,東京都 3区,自民党
石破茂,鳥取県 1区,自民党
泉健太,京都府 3区,民進党
井出庸生,長野県 3区,民進党
伊藤信太郎,宮城県 4区,自民党
伊藤忠彦,愛知県 8区,自民党
伊藤達也,東京都 22区,自民党
伊東信久,近畿ブロック,日本維新の会
伊東良孝,北海道 7区,自民党
伊藤渉,東海ブロック,公明党
稲田朋美,福井県 1区,自民党
稲津久,北海道 10区,公明党
井上信治,東京都 25区,自民党
井上貴博,福岡県 1区,自民党
井上英孝,大阪府 1区,日本維新の会
井上義久,東北ブロック,公明党
井野俊郎,群馬県 2区,自民党
井林辰憲,静岡県 2区,自民党
伊吹文明,京都府 1区,自民党
今井雅人,東海ブロック,民進党
今枝宗一郎,愛知県 14区,自民党
今津寛,北海道ブロック,自民党
今村雅弘,九州ブロック,自民党
岩田和親,九州ブロック,自民党
岩屋毅,大分県 3区,自民党
上田勇,神奈川県 6区,公明党
上西小百合,近畿ブロック,無所属
うえの賢一郎,滋賀県 2区,自民党
浮島智子,近畿ブロック,公明党
梅村さえこ,北関東ブロック,共産党
浦野靖人,近畿ブロック,日本維新の会
漆原良夫,北陸信越ブロック,公明党
江崎鐵磨,愛知県 10区,自民党
江田憲司,神奈川県 8区,民進党
枝野幸男,埼玉県 5区,民進党
江田康幸,九州ブロック,公明党
江渡聡徳,青森県 2区,自民党
衛藤征士郎,大分県 2区,自民党
江藤拓,宮崎県 2区,自民党
遠藤敬,大阪府 18区,日本維新の会
遠藤利明,山形県 1区,自民党
大岡敏孝,滋賀県 1区,自民党
大隈和英,近畿ブロック,自民党
大串博志,九州ブロック,民進党
大串正樹,兵庫県 6区,自民党
大口善徳,東海ブロック,公明党
逢坂誠二,北海道 8区,民進党
大島敦,埼玉県 6区,民進党
大島理森,青森県 3区,自民党
太田昭宏,東京都 12区,公明党
太田和美,南関東ブロック,民進党
大塚高司,大阪府 8区,自民党
大塚拓,埼玉県 9区,自民党
大西健介,愛知県 13区,民進党
大西英男,東京都 16区,自民党
大西宏幸,近畿ブロック,自民党
大野敬太郎,香川県 3区,自民党
大畠章宏,茨城県 5区,民進党
大平喜信,中国ブロック,共産党
大見正,東海ブロック,自民党
岡下昌平,近畿ブロック,自民党
岡田克也,三重県 3区,民進党
岡本三成,北関東ブロック,公明党
岡本充功,東海ブロック,民進党
緒方林太郎,九州ブロック,民進党
小川淳也,四国ブロック,民進党
奥野信亮,奈良県 3区,自民党
奥野総一郎,南関東ブロック,民進党
