船橋利実,北海道 1区,自民
道下大樹,北海道 1区,民進
森英士,北海道 1区,共産
船橋利実,北海道 1区,自民
道下大樹,北海道 1区,民進
森英士,北海道 1区,共産
金倉昌俊,北海道 2区,共産
小和田康文,北海道 2区,維新
松木謙公,北海道 2区,自民
吉川貴盛,北海道 2区,自民
荒井聡,北海道 3区,民進
川部竜二,北海道 3区,共産
高木宏寿,北海道 3区,自民
佐々木明美,北海道 4区,共産
中村裕之,北海道 4区,自民
本多平直,北海道 4区,民進
池田真紀,北海道 5区,民進
森山佳則,北海道 5区,幸福
和田義明,北海道 5区,自民
今津寛,北海道 6区,自民
荻生和敏,北海道 6区,共産
佐々木隆博,北海道 6区,民進
石川明美,北海道 7区,共産
伊東良孝,北海道 7区,自民
鈴木貴子,北海道 7区,無所属
逢坂誠二,北海道 8区,民進
本間勝美,北海道 8区,共産
前田一男,北海道 8区,自民
堀井学,北海道 9区,自民
松橋千春,北海道 9区,共産
山岡達丸,北海道 9区,民進
稲津久,北海道 10区,公明
神谷裕,北海道 10区,民進
女鹿武,北海道 10区,共産
石川香織,北海道 11区,無所属
佐々木とし子,北海道 11区,共産
中川郁子,北海道 11区,自民
菅原誠,北海道 12区,共産
武部新,北海道 12区,自民
水上美華,北海道 12区,民進
赤平勇人,青森県 1区,共産
津島淳,青森県 1区,自民
升田世喜男,青森県 1区,民進
大島理森,青森県 2区,自民
奥本菜保巳,青森県 2区,共産
工藤武司,青森県 2区,民進
木村次郎,青森県 3区,自民
高柳博明,青森県 3区,共産
三国佑貴,青森県 3区,幸福
山内崇,青森県 3区,民進
階猛,岩手県 1区,民進
高橋比奈子,岩手県 1区,自民
吉田恭子,岩手県 1区,共産
鈴木俊一,岩手県 2区,自民
畑浩治,岩手県 2区,民進
小沢一郎,岩手県 3区,自由
菊池幸夫,岩手県 3区,共産
藤原崇,岩手県 3区,自民
岡本章子,宮城県 1区,無所属
土井亨,宮城県 1区,自民
畠山昌樹,宮城県 1区,維新
松井秀明,宮城県 1区,共産
油井哲史,宮城県 1区,幸福
秋葉賢也,宮城県 2区,自民
鎌田さゆり,宮城県 2区,無所属
佐藤克之,宮城県 2区,共産
一條芳弘,宮城県 3区,民進
西村明宏,宮城県 3区,自民
吉田剛,宮城県 3区,共産
伊藤信太郎,宮城県 4区,自民
戸津川永,宮城県 4区,共産
坂東毅彦,宮城県 4区,民進
安住淳,宮城県 5区,民進
勝沼栄明,宮城県 5区,自民
小野寺五典,宮城県 6区,自民
横田有史,宮城県 6区,共産
斉藤大悟,秋田県 1区,共産
寺田学,秋田県 1区,民進
冨樫博之,秋田県 1区,自民
金田勝年,秋田県 2区,自民
藤本友里,秋田県 2区,共産
緑川貴士,秋田県 2区,民進
御法川信英,秋田県 3区,自民
村岡敏英,秋田県 3区,民進
荒井寛,山形県 1区,民進
石川渉,山形県 1区,共産
遠藤利明,山形県 1区,自民
岩本康嗣,山形県 2区,共産
近藤洋介,山形県 2区,民進
鈴木憲和,山形県 2区,自民
阿部寿一,山形県 3区,無所属
加藤鮎子,山形県 3区,自民
加藤太一,山形県 3区,共産
城取良太,山形県 3区,幸福
金子恵美,福島県 1区,民進
亀岡偉民,福島県 1区,自民
斎藤朝興,福島県 1区,共産
岡部光規,福島県 2区,民進
平善彦,福島県 2区,共産
根本匠,福島県 2区,自民
上杉謙太郎,福島県 3区,自民
玄葉光一郎,福島県 3区,民進
橋本健二,福島県 3区,共産
小熊慎司,福島県 4区,民進
菅家一郎,福島県 4区,自民
古川芳憲,福島県 4区,共産
渡辺敏雄,福島県 4区,社民
遠藤陽子,福島県 5区,社民
熊谷智,福島県 5区,共産
吉田泉,福島県 5区,民進
吉野正芳,福島県 5区,自民
大内久美子,茨城県 1区,共産
川辺賢一,茨城県 1区,幸福
田所嘉徳,茨城県 1区,自民
福島伸享,茨城県 1区,民進
星野文雄,茨城県 2区,共産
石津政雄,茨城県 2区,民進
